"chrom" "CDS" "DNA" "gc" "LINE" "LTR" "rpt" "SINE" "CDS_sd" "DNA_sd" "gc_sd" "LINE_sd" "LTR_sd" "rpt_sd" "SINE_sd" "chr_length" "chr_type" "rr_mean_loess" "rr_sd_loess" "rr_mean_wind_2mb" "rr_sd_wind_2mb"
"1" "LR999924.1" 0.0463641471965671 0.0230936751181074 0.327737555555556 0.096190199330447 0.0120546554630178 0.265645745245157 0.0519174999350612 0.0140262498969799 0.00344588628699966 0.0142090115869394 0.0229722426837517 0.00379736395743487 0.0336235957586903 0.0085351947043788 17040296 "Z" 2.7641778961779 0.850225329879882 2.99571185296185 1.65529896762845
"2" "LR999925.1" 0.0473211499610476 0.0217587334042092 0.329114888888889 0.115215538504343 0.0196759807492927 0.304145587030887 0.0618207425799989 0.0175789747209271 0.00389235911507487 0.0107352798454959 0.0307457904021665 0.00863678649689264 0.0496427899702262 0.0132735072034186 16607008 "Autosome" 3.39194349747475 1.53136178166111 3.01369191919192 2.01323752718835
"3" "LR999926.1" 0.0514704202358912 0.0231617776507302 0.334230888888889 0.118409501608196 0.019456055453672 0.317099576868405 0.0634143884150688 0.0244521014065923 0.00550486358899138 0.0117837975886855 0.0316753828024104 0.0082330795745421 0.0752654926893652 0.0176209380260788 16362069 "Autosome" 3.95322222222222 2.00520236646229 3.51942857142857 2.22108278638677
"4" "LR999927.1" 0.0409476706061287 0.0247475258424043 0.339241666666667 0.131023364769884 0.0302863079308284 0.346242670663187 0.0585781284898995 0.0218991860416802 0.00524669746634975 0.0320430131112853 0.034241191907057 0.0142746365172719 0.0672317642734673 0.0228570803149203 16090551 "Autosome" 3.52293891293891 2.10895437159368 3.11527922077922 2.06243162933183
"5" "LR999928.1" 0.0349032222222222 0.0196017222222222 0.332865444444444 0.108347722222222 0.0165293333333333 0.281657611111111 0.0584505 0.0239555700883311 0.00808091122302704 0.0182125783808273 0.0493871582012414 0.0116053201000662 0.124043904706604 0.0264659129790094 16000791 "Autosome" 3.47021590909091 1.5296413042874 3.32990277777778 1.4480108173202
"6" "LR999929.1" 0.0404256346565534 0.0268964909784058 0.329415125 0.140260483500859 0.0227501548525583 0.368855406297865 0.0722590838049423 0.0145888305776209 0.00254425793878022 0.0079951779652756 0.0265822864678328 0.00607117563907112 0.0466160772174573 0.0102515667188282 15952094 "Autosome" 3.14630753968254 1.10061981222938 3.03218551587302 2.17977223801088
"7" "LR999930.1" 0.0374436545375122 0.0256651098892674 0.32539225 0.122700640375787 0.0205981096991671 0.324357586454605 0.0656902205844843 0.0166838019538729 0.0053378949350965 0.00923912852646674 0.0338859764208999 0.00822035795775446 0.0708443260189201 0.01672232679577 15715213 "Autosome" 3.8348125 2.26125587468536 2.58813988095238 1.28560547991636
"8" "LR999931.1" 0.056683053175341 0.0216410706065535 0.33046975 0.103664240601733 0.0155396924023099 0.279610418274061 0.0590016906271383 0.0318460592937268 0.00528457578900781 0.00750954110734186 0.0274898167623598 0.00547329577132413 0.0649573790380999 0.0177615412280651 15572524 "Autosome" 3.81198232323232 1.71164083634397 3.94864204545455 2.1753279653645
"9" "LR999932.1" 0.0458947223383945 0.0281718514217693 0.329610125 0.13416673766831 0.0210232103960036 0.347530731770642 0.0698496833438642 0.0147575435265687 0.00676570151948251 0.0125494379548306 0.0308145346848593 0.00631900692054625 0.0664136708513157 0.0204417631323464 15426761 "Autosome" 3.64181398809524 2.64705017985823 3.67279761904762 4.1049845562524
"10" "LR999933.1" 0.0368600472587676 0.0243214597805753 0.32692975 0.128276703603995 0.020614147101303 0.334043604865727 0.0702032251760137 0.0135512582306205 0.00520020180201175 0.00922755975713127 0.0271720801737579 0.00596006385726781 0.067487474692994 0.0179979689775026 15296561 "Autosome" 4.21456845238095 1.84160934123383 3.69107738095238 2.19282912373698
"11" "LR999934.1" 0.0380563912533115 0.0360042992188706 0.337902625 0.169467122185069 0.0237626701694509 0.442523877690583 0.0751828513686943 0.0207508326743027 0.00461473668954196 0.00723206303183459 0.0413538320071269 0.00799227964059462 0.0929748113986395 0.017290013549792 14945938 "Autosome" 4.70333333333333 1.73104473813263 3.45357142857143 1.93863253190232
"12" "LR999935.1" 0.0508550774681147 0.0229085407544709 0.330801125 0.104484980757788 0.0146381773300662 0.283924262418762 0.0598812392085167 0.0289926362347532 0.0035773028347323 0.00780270193930099 0.017961686845669 0.0053550432705275 0.0367195223418744 0.0120585004994453 14868897 "Autosome" 4.05589299242424 0.655677849313228 3.8797821969697 1.51947992528327
"13" "LR999936.1" 0.0361572482280734 0.0293606177465136 0.33310125 0.143774641787136 0.024027762371928 0.369966933690931 0.0728303265658071 0.0195997495812229 0.00597266591217153 0.0105398566370028 0.04248033977966 0.0112157249793731 0.0766444252969925 0.0139307751409671 14774369 "Autosome" 3.74065426587302 0.953029890298883 4.43749007936508 1.46738022343149
"14" "LR999937.1" 0.0307549912246205 0.0255695313066661 0.33154975 0.140207233177935 0.0261502858977855 0.367589125321632 0.0734818931549605 0.00927477578525972 0.00616168354423298 0.0106412702215746 0.0378814637901377 0.0100515952792396 0.0732186768083674 0.0133251303360034 14615999 "Autosome" 4.74595512820513 1.68848888190811 4.1719375 1.47813780912434
"15" "LR999938.1" 0.0312261360308206 0.0265928657851095 0.330465375 0.127678312496283 0.0184033284252634 0.329771815739355 0.0682869798930387 0.0113453366683156 0.00821122129229544 0.0130069567862466 0.0317024321509319 0.00833908023290148 0.0776480895402181 0.0215035744647089 14605406 "Autosome" 2.50207142857143 1.27668623833635 2.72670251177394 1.93147125993511
"16" "LR999939.1" 0.0327995740004179 0.0254943364514221 0.326823714285714 0.131511393769296 0.0173201517149383 0.341501211007366 0.0746627876015091 0.011173996327258 0.00612588937825002 0.0113055950413101 0.038654554602035 0.00670402136163409 0.0792198438723157 0.0191020677940474 13916383 "Autosome" 3.67622108843537 0.809063253399696 3.67440476190476 1.43666894213857
"17" "LR999940.1" 0 0.0313142372272162 0.369908428571429 0.434751499409741 0.144070827894606 0.70068619921648 0.00801300675550994 0 0.0062536562990204 0.00440452248100908 0.0489969569976978 0.0111363250049829 0.0508936777943557 0.00128434902702788 13819298 "W" NA NA NA NA
"18" "LR999941.1" 0.0444466882295511 0.0244019526744988 0.329009285714286 0.120072843629522 0.0154458468488158 0.316750238582854 0.0695871647726266 0.0175082402193009 0.00451854820166061 0.00650207640461327 0.019529560685966 0.00542338549359964 0.0461092055080307 0.0140947717408082 13774036 "Autosome" 4.08501587301587 1.75174605083939 4.43248185941043 2.56831068285066
"19" "LR999942.1" 0.0396574814006828 0.0263468449113518 0.3312 0.13039466791861 0.0175857282123547 0.339532425475964 0.0752096416513859 0.0146484027746188 0.00479392707302434 0.00801394457596674 0.0279583854611973 0.00479572501875482 0.0586961174844129 0.0154185638468002 13550656 "Autosome" 3.9404880952381 1.59365645359085 4.82454761904762 2.0903608849604
"20" "LR999943.1" 0.0392800676459226 0.0269567833483974 0.330772571428571 0.133442960894454 0.0193266393295664 0.357053471548345 0.0803005649214544 0.0146310318435563 0.004079142089972 0.00846468427954527 0.027890532400834 0.00661013407027275 0.0507927507534046 0.0119696732736189 13236624 "Autosome" 3.70891780045351 1.06108719945979 4.28346031746032 3.53532531833797
"21" "LR999944.1" 0.0273761294434379 0.044220837164644 0.337439142857143 0.142436240387023 0.030875601096823 0.39916624320446 0.0750391370207241 0.0075093508330342 0.0188109914757486 0.00775318696684512 0.0397965573507618 0.0192156703257398 0.0763145086129688 0.0197697848086055 12933853 "Autosome" 3.77619047619048 1.87933399995621 4.58584126984127 2.06027282484353
"22" "LR999945.1" 0.0419075835248285 0.0277243200069779 0.334967428571429 0.134086752558785 0.0182490076457881 0.345690910230363 0.0770574228075773 0.0233237870381427 0.00445335334101635 0.00893565998042195 0.01965320546923 0.00465405076197441 0.0429419984065533 0.0137064469348649 12861081 "Autosome" 4.27905627705628 1.13139645885657 4.51423881673882 1.11261253646014
"23" "LR999946.1" 0.036323513736698 0.0301985722215629 0.335622142857143 0.150260002862313 0.019171850208926 0.370255471360539 0.0770393866096623 0.0154857916986467 0.0112453277217651 0.0166455262801408 0.0367270914029811 0.00691220340268156 0.0648684766915274 0.0183854188519344 12594674 "Autosome" 4.73795454545455 1.61352732603714 3.86235930735931 1.80620742779723
"24" "LR999947.1" 0.0232742585487615 0.0337854463167569 0.3346405 0.181650088373813 0.0229678136871826 0.450847581735557 0.101537089660133 0.00447194688687425 0.00593320353594875 0.00531132370506637 0.0103056596042768 0.00578397708053031 0.0240767267869483 0.00843440024043473 11704087 "Autosome" 4.59647222222222 1.57807063039689 4.18988888888889 0.336572043908493
"25" "LR999948.1" 0.0262687374953176 0.0351016305432011 0.338505833333333 0.183574492864947 0.0226116137663431 0.43987506159171 0.0932730320317389 0.00571119762415009 0.00600450897995065 0.0119007814099187 0.036078222046255 0.00705155586525128 0.0514522419491552 0.0118265763934266 11326783 "Autosome" 3.41270833333333 1.15206938575711 5.33916666666667 3.41482127351716
"26" "LR999949.1" 0.0341258955018966 0.041590339247809 0.3458905 0.185284409337431 0.0236274673391225 0.45117172670767 0.0901187786442373 0.00603500534022881 0.0172238128411927 0.0125256917693196 0.0390711730999758 0.00508801933564321 0.054124665664999 0.0157753559835469 11199261 "Autosome" 4.8875 2.38822256081798 3.54925 0.985991571784277
"27" "LR999950.1" 0.0326856872427284 0.0296696072735222 0.33591 0.150309930508072 0.0230147305370492 0.387848209867014 0.090789740084341 0.00826019936812405 0.00269270324193598 0.00737725921328511 0.0248635911426255 0.00628204453190646 0.0462635509874397 0.00659033795261238 9960137 "Autosome" 6.06449848484848 1.99550884541976 5.83904242424242 2.10647203319577
"28" "LR999951.1" 0.0256276477861706 0.0361972220392688 0.3383496 0.186749929382032 0.0271937542464023 0.468365699067901 0.105570935180501 0.0112186845243088 0.00380019135240259 0.00370721624672747 0.0120783643767464 0.00869238713717188 0.0306916711596302 0.0160861173804287 9839934 "Autosome" 5.51116666666667 2.84957118377003 5.62954761904762 1.96876978436911
"29" "LR999952.1" 0.0264566441203038 0.034777105426327 0.3571466 0.203909771018299 0.0237049378287831 0.512981032115837 0.0931453580659301 0.014395011022288 0.0162518827933867 0.0242443366747783 0.0293917840470368 0.00600220889627604 0.0190172532386593 0.0357491419344713 8262369 "Autosome" 6.55071428571429 4.83605498388638 7.29241071428571 5.25143989686734
"30" "LR999953.1" 0.034038214823946 0.069085956881906 0.3611176 0.233959648914091 0.0376904545845754 0.559790771974808 0.0917631369029742 0.0121191529758169 0.0261348111879446 0.00309935030288607 0.0507100785131644 0.0175714466637347 0.0378314710324417 0.0252416510170566 8178468 "Autosome" 3.4525 2.45466355090635 5.76 0.700333254006025
"31" "LR999954.1" 0.0287111644940321 0.0517163832271983 0.3512045 0.228144988313159 0.0283243286319045 0.562776224528872 0.122139676898902 0.00744881233830192 0.00251429702350153 0.0066770689427822 0.0129972843380288 0.00707874863619023 0.0187793181895308 0.014135167488721 7379297 "Autosome" 8.515625 0.467091386589312 7.536875 1.21387724854576
"32" "LR999955.1" 0.0299599919980281 0.0600023869413349 0.36590475 0.214768315625488 0.0591543637876201 0.606778533835536 0.0853220479682446 0.019456840736134 0.0228836292923946 0.0128964714909415 0.0264998545153265 0.0317312988474505 0.0234908345719624 0.0482533819694934 6166334 "Autosome" 10.506 2.88909333661831 6.066 4.09451774938148
